               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11374,            0.069994,            0.058378,            0.011683,            0.035771,           0.0048685,           0.0010175,             0.10131,             0.06547,            0.056108,             0.00111,             0.00111,             0.09001
                   1,            0.092465,             0.08154,            0.050643,             0.14362,             0.11202,            0.071625,            0.019187,            0.079106,            0.062536,            0.048925,           0.0022176,           0.0022176,            0.079918
                   2,            0.077851,            0.073699,            0.044086,            0.096904,             0.19801,            0.066152,            0.019535,            0.076441,            0.056083,            0.045366,           0.0032762,           0.0032762,            0.069776
                   3,             0.07236,            0.071736,            0.041664,             0.52437,             0.17505,             0.11076,            0.034197,            0.068458,            0.052734,            0.043055,           0.0042508,           0.0042508,            0.059551
                   4,            0.070881,            0.065714,             0.04115,             0.24261,             0.25125,             0.15974,             0.05614,            0.061906,            0.053591,            0.040533,           0.0051096,           0.0051096,             0.04921
                   5,            0.069699,            0.065384,            0.036614,             0.21758,             0.41671,             0.15928,            0.058607,            0.064455,             0.05181,            0.036654,           0.0058256,           0.0058256,            0.038726
                   6,            0.067651,            0.069324,            0.035313,             0.44733,             0.24114,             0.17141,            0.054269,            0.064022,            0.052358,            0.033348,           0.0063776,           0.0063776,            0.028078
                   7,            0.067356,            0.065191,            0.032511,             0.29873,             0.41681,              0.2181,             0.07543,            0.060653,            0.053066,            0.029744,           0.0067509,           0.0067509,            0.017251
                   8,            0.064494,             0.06356,            0.029297,             0.36602,             0.43808,             0.25941,            0.082793,            0.059936,            0.050801,            0.025681,           0.0068906,           0.0068906,           0.0068906
                   9,            0.061657,            0.067077,            0.026777,             0.55904,             0.38088,             0.33252,             0.12064,            0.058259,            0.052903,            0.024322,           0.0068906,           0.0068906,           0.0068906
                  10,            0.056266,            0.066445,            0.024084,               0.371,             0.47425,             0.31146,             0.10917,            0.055311,            0.053936,            0.023497,            0.006204,            0.006204,            0.006204
                  11,            0.055115,            0.064251,            0.023017,             0.39276,             0.50565,             0.36725,             0.15645,            0.054561,            0.049483,            0.020951,              0.0055,              0.0055,              0.0055
                  12,            0.050607,            0.062784,            0.022504,             0.47763,             0.52583,             0.48281,              0.2156,            0.049182,            0.051536,            0.019888,            0.004796,            0.004796,            0.004796
                  13,            0.047378,            0.064291,            0.020354,             0.45621,             0.60211,             0.52777,             0.25147,            0.045117,            0.049575,            0.018783,           0.0041094,           0.0041094,           0.0041094
                  14,            0.045731,            0.063659,             0.01943,             0.49747,             0.59359,             0.53536,             0.25472,            0.045074,            0.049343,            0.017802,            0.003457,            0.003457,            0.003457
                  15,            0.044514,            0.060144,            0.019118,             0.59297,             0.57254,             0.57252,             0.27584,            0.044437,            0.049628,            0.016375,            0.002855,            0.002855,            0.002855
                  16,            0.042927,            0.061499,            0.018186,             0.69537,             0.54276,             0.58146,             0.30862,            0.042034,            0.049713,            0.015991,            0.002318,            0.002318,            0.002318
                  17,            0.040553,            0.057026,            0.017667,             0.70204,             0.55479,             0.59402,             0.32508,            0.042093,            0.048602,             0.01539,           0.0018594,           0.0018594,           0.0018594
                  18,            0.041324,            0.057469,            0.016285,             0.65557,             0.58769,             0.62534,             0.34434,            0.041195,            0.048901,            0.014562,           0.0014905,           0.0014905,           0.0014905
                  19,            0.039953,            0.056097,            0.016112,             0.60487,             0.63188,             0.64126,             0.35728,            0.041023,            0.048953,             0.01406,           0.0012202,           0.0012202,           0.0012202
